Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Homem,86,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Não aplicável,1,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,38,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.045,00 "
Homem,46,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável, Não aplicável, Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,36,Preta,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,43,Parda,Sim,Não aplicável,Não aplicável,Não,Agregado(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,5 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada,Não aplicável
Homem,24,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a), Não aplicável, Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,27,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,4,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,29,Preta,Sim,Não aplicável,Não aplicável,Não,Filho(a), Não aplicável, Não aplicável,6,Regular do ensino fundamental ou do 1º grau,6,7 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Homem,34,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  500,00 "," R$  500,00 ",6,Educação de jovens e adultos (EJA) ou supletivo do 2º grau,6,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  500,00 "
Homem,12,Preta,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,76,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Antigo primário (elementar),4,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,76,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Classe de alfabetização - CA,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,43,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  600,00 "," R$  600,00 ",4,Regular do ensino fundamental ou do 1º grau,4,9 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  300,00 "
Mulher,8,Parda,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,50,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,57,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Classe de alfabetização - CA,1,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,53,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,43,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,31,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  600,00 "," R$  600,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Conta-própria,Conta-própria," R$  200,00 "
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Superior - graduação,4,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,30,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,52,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  600,00 "," R$  600,00 ",1,Regular do ensino fundamental ou do 1º grau,1,6 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  600,00 "
Homem,1,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,77,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Antigo primário (elementar),2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,39,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a)," R$  100,00 "," R$  100,00 ",4,Superior - graduação,4,13 anos de estudo,Conta-própria,Conta-própria, R$  -   
Homem,52,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.500,00 "," R$  1.500,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.500,00 "
Mulher,26,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Superior - graduação,5,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,61,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,30,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  3.785,00 "," R$  3.785,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  3.785,00 "
Homem,40,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.800,00 "," R$  1.800,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Conta-própria,Conta-própria," R$  1.000,00 "
Mulher,45,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,44,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Superior - graduação,3,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,63,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Especialização de nível superior,4,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,40,Branca,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.039,00 "," R$  1.039,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.993,00 "
Mulher,44,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  300,00 "," R$  300,00 ",2,Especialização de nível superior,2,16 anos ou mais de estudo,Conta-própria,Conta-própria, R$  -   
Mulher,55,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino médio óu do 2º grau,1,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,16,Preta,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,41,Preta,Sim,Não aplicável,Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,1,Preta,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Outro parente,Não aplicável,Não aplicável,5,Não aplicável,5,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,16,Parda,Sim,Segunda (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,5,Não aplicável,5,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,51,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.000,00 "," R$  1.000,00 ",4,Regular do ensino fundamental ou do 1º grau,4,6 anos de estudo,Conta-própria,Conta-própria," R$  1.000,00 "
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,56,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,14,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,2,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,6,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,22,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,11,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,9,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,18,Parda,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,9,Não aplicável,9,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,6,Parda,Não,Primeira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,9,Não aplicável,9,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,1,Indígena,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,6,Branca,Não,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,48,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Superior - graduação,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,70,Branca,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,85,Parda,Não,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,28,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.000,00 "," R$  1.000,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.000,00 "
Homem,59,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,45,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Parda,Sim,Oitava (o) ,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,15 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,21,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,43,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.000,00 "," R$  1.000,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Conta-própria,Conta-própria," R$  700,00 "
Mulher,65,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,35,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",5,Superior - graduação,5,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.039,00 "
Mulher,55,Parda,Sim,Curso não classificado em séries ou anos,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Não aplicável,3,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,52,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  2.500,00 "," R$  2.500,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregador,Empregador," R$  1.500,00 "
Mulher,21,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  700,00 "," R$  700,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  700,00 "
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,34,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,11 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Mulher,63,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Antigo primário (elementar),1,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,12,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,24,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,95,Parda,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,8,Indígena,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,17,Indígena,Sim,Terceira (o),Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,4,Não aplicável,4,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Mulher,15,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Homem,33,Parda,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,73,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,82,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,22,Preta,Sim,Quarta (o),Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",3,Não aplicável,3,13 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,23,Parda,Sim,Oitava (o) ,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,15 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,33,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  700,00 "," R$  700,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Conta-própria,Conta-própria," R$  200,00 "
Homem,8,Branca,Sim,Segunda (o),Não aplicável,Não aplicável,Outro parente,Não aplicável,Não aplicável,4,Não aplicável,4,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,40,Branca,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,8,Branca,Não,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,25,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,48,Indígena,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  3.100,00 "," R$  3.100,00 ",4,Superior - graduação,4,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Empregado no setor público com carteira de trabalho assinada," R$  3.100,00 "
Mulher,72,Indígena,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,4,Antigo primário (elementar),4,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,14,Branca,Sim,Nona (o),Não aplicável,Não,Enteado(a),Não aplicável,Não aplicável,5,Não aplicável,5,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,86,Parda,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,3,Classe de alfabetização - CA,3,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,18,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,12,Branca,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Homem,19,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,7,Parda,Sim,Segunda (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,4,Não aplicável,4,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,40,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a)," R$  1.000,00 "," R$  1.000,00 ",3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Conta-própria,Conta-própria," R$  1.000,00 "
Homem,3,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,5,Não aplicável,5,Não aplicável,Não aplicável,Não aplicável,Não aplicável
